GPU: 0,1,2,3
Loading path...
Save name: demo
Save best test: False
Save later: False
Loading dataset...
Group length: 1
DataSet: PACS
Source domain: ['art_painting', 'cartoon', 'photo']
Target domain: ['sketch']
Known classes: ['dog', 'elephant', 'giraffe', 'guitar', 'horse', 'house', 'person']
Unknown classes: []
Batch size: 16
Number of task(domain): 3
Number of task(class): 3
Tasks per step: [3, 3, 3]
CrossVal: True
Loading models...
Model wrapped with nn.DataParallel for 4 GPUs.
为扩散模型创建了 SGD 优化器，学习率: 0.0001。
Network: resnet18
Number of epoch: 6000
Optimize method: SGD
Learning rate: 0.0002
Meta learning rate: 0.01
Without close set classifier: False
Without binary classifier: False
Share Parameter: False
Start training...
Loading pre-trained weights from: ./experiment/model/val/pacs_resnet18.tar
Loaded state_dict with strict=False. Found 80 missing keys (expected for diffusion model).
Freezing feature extractor (net.net)...
Extracting target weights for diffusion model training...
Start training diffusion models...
Epoch [1/6000], Average Denoising Loss: 2.0077
Epoch [2/6000], Average Denoising Loss: 2.0364
Epoch [3/6000], Average Denoising Loss: 1.9993
Epoch [4/6000], Average Denoising Loss: 1.9657
Epoch [5/6000], Average Denoising Loss: 1.9793
Epoch [6/6000], Average Denoising Loss: 1.9964
Epoch [7/6000], Average Denoising Loss: 2.0022
Epoch [8/6000], Average Denoising Loss: 2.0161
Epoch [9/6000], Average Denoising Loss: 2.0106
Epoch [10/6000], Average Denoising Loss: 1.9760
Epoch [11/6000], Average Denoising Loss: 1.9878
Epoch [12/6000], Average Denoising Loss: 1.9898
Epoch [13/6000], Average Denoising Loss: 1.9730
Epoch [14/6000], Average Denoising Loss: 2.0018
Epoch [15/6000], Average Denoising Loss: 2.0031
Epoch [16/6000], Average Denoising Loss: 1.9757
Epoch [17/6000], Average Denoising Loss: 2.0212
Epoch [18/6000], Average Denoising Loss: 2.0218
Epoch [19/6000], Average Denoising Loss: 1.9825
Epoch [20/6000], Average Denoising Loss: 2.0130
Epoch [21/6000], Average Denoising Loss: 1.9986
Epoch [22/6000], Average Denoising Loss: 1.9810
Epoch [23/6000], Average Denoising Loss: 2.0104
Epoch [24/6000], Average Denoising Loss: 2.0112
Epoch [25/6000], Average Denoising Loss: 1.9545
Epoch [26/6000], Average Denoising Loss: 1.9975
Epoch [27/6000], Average Denoising Loss: 1.9863
Epoch [28/6000], Average Denoising Loss: 2.0033
Epoch [29/6000], Average Denoising Loss: 1.9939
Epoch [30/6000], Average Denoising Loss: 1.9880
Epoch [31/6000], Average Denoising Loss: 2.0022
Epoch [32/6000], Average Denoising Loss: 1.9992
Epoch [33/6000], Average Denoising Loss: 2.0223
Epoch [34/6000], Average Denoising Loss: 1.9873
Epoch [35/6000], Average Denoising Loss: 2.0041
Epoch [36/6000], Average Denoising Loss: 2.0554
Epoch [37/6000], Average Denoising Loss: 2.0259
Epoch [38/6000], Average Denoising Loss: 1.9968
Epoch [39/6000], Average Denoising Loss: 2.0291
Epoch [40/6000], Average Denoising Loss: 2.0279
Epoch [41/6000], Average Denoising Loss: 1.9828
Epoch [42/6000], Average Denoising Loss: 1.9973
Epoch [43/6000], Average Denoising Loss: 1.9816
Epoch [44/6000], Average Denoising Loss: 2.0042
Epoch [45/6000], Average Denoising Loss: 1.9950
Epoch [46/6000], Average Denoising Loss: 2.0141
Epoch [47/6000], Average Denoising Loss: 1.9855
Epoch [48/6000], Average Denoising Loss: 2.0049
Epoch [49/6000], Average Denoising Loss: 1.9645
Epoch [50/6000], Average Denoising Loss: 1.9927
Epoch [51/6000], Average Denoising Loss: 2.0091
Epoch [52/6000], Average Denoising Loss: 1.9861
Epoch [53/6000], Average Denoising Loss: 2.0044
Epoch [54/6000], Average Denoising Loss: 1.9997
Epoch [55/6000], Average Denoising Loss: 2.0018
Epoch [56/6000], Average Denoising Loss: 2.0202
Epoch [57/6000], Average Denoising Loss: 1.9828
Epoch [58/6000], Average Denoising Loss: 2.0040
Epoch [59/6000], Average Denoising Loss: 1.9808
Epoch [60/6000], Average Denoising Loss: 1.9731
Epoch [61/6000], Average Denoising Loss: 1.9855
Epoch [62/6000], Average Denoising Loss: 2.0122
Epoch [63/6000], Average Denoising Loss: 2.0160
Epoch [64/6000], Average Denoising Loss: 1.9670
Epoch [65/6000], Average Denoising Loss: 2.0413
Epoch [66/6000], Average Denoising Loss: 1.9608
Epoch [67/6000], Average Denoising Loss: 2.0098
Epoch [68/6000], Average Denoising Loss: 2.0116
Epoch [69/6000], Average Denoising Loss: 2.0002
Epoch [70/6000], Average Denoising Loss: 2.0175
Epoch [71/6000], Average Denoising Loss: 2.0168
Epoch [72/6000], Average Denoising Loss: 1.9739
Epoch [73/6000], Average Denoising Loss: 2.0008
Epoch [74/6000], Average Denoising Loss: 2.0106
Epoch [75/6000], Average Denoising Loss: 2.0143
Epoch [76/6000], Average Denoising Loss: 1.9990
Epoch [77/6000], Average Denoising Loss: 1.9786
Epoch [78/6000], Average Denoising Loss: 1.9881
Epoch [79/6000], Average Denoising Loss: 1.9987
Epoch [80/6000], Average Denoising Loss: 1.9902
Epoch [81/6000], Average Denoising Loss: 1.9851
Epoch [82/6000], Average Denoising Loss: 1.9986
Epoch [83/6000], Average Denoising Loss: 1.9833
Epoch [84/6000], Average Denoising Loss: 2.0085
Epoch [85/6000], Average Denoising Loss: 2.0199
Epoch [86/6000], Average Denoising Loss: 1.9853
Epoch [87/6000], Average Denoising Loss: 2.0241
Epoch [88/6000], Average Denoising Loss: 2.0092
Epoch [89/6000], Average Denoising Loss: 1.9793
Epoch [90/6000], Average Denoising Loss: 2.0080
Epoch [91/6000], Average Denoising Loss: 2.0052
Epoch [92/6000], Average Denoising Loss: 1.9893
Epoch [93/6000], Average Denoising Loss: 2.0003
Epoch [94/6000], Average Denoising Loss: 1.9971
Epoch [95/6000], Average Denoising Loss: 2.0177
Epoch [96/6000], Average Denoising Loss: 2.0075
Epoch [97/6000], Average Denoising Loss: 2.0164
Epoch [98/6000], Average Denoising Loss: 2.0015
